"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","should add multiple todo items","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","6786","should delete a todo item","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","29","DELETE /users/2 — expects 200","","2026-04-17","passed","2026-04-17","","Users API","",""
"","10378","should handle a full lifecycle of adding, completing, filtering and clearing","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","1772","should add a new todo item","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","17","GET /users/9999 — returns 404","","2026-04-17","passed","2026-04-17","","Users API","",""
"","1587","should mark a todo item as completed","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
"","103","PUT /users/2 — sends updated name/job, expects 200 with matching data","","2026-04-17","passed","2026-04-17","","Users API","",""
"","128","GET /users — returns 200, non-empty array with id/email/name","","2026-04-17","passed","2026-04-17","","Users API","",""
"","22","GET /users/2 — returns 200 with id:2 and truthy email/name","","2026-04-17","passed","2026-04-17","","Users API","",""
"","183","POST /users — sends name/job, expects 201 with matching data and defined id","","2026-04-17","passed","2026-04-17","","Users API","",""
"","4899","should display correct remaining items count","","2026-04-17","passed","2026-04-17","","TodoMVC","",""
